,original_glrlm_RunLengthNonUniformity,original_glszm_LargeAreaEmphasis,log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet-LH_firstorder_Variance,wavelet-HL_glcm_ClusterProminence,wavelet-HL_ngtdm_Complexity,wavelet-HH_glrlm_RunLengthNonUniformity,wavelet-HH_gldm_DependenceNonUniformity,wavelet-LL_firstorder_Maximum,wavelet-LL_glrlm_GrayLevelNonUniformity,wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,wavelet-LL_glrlm_ShortRunHighGrayLevelEmphasis,wavelet-LL_ngtdm_Complexity,score
1,-1.030816253753583,-0.1608761818490542,-0.14230226983167565,-0.07046481397649162,0.3897534574480455,-0.28307204841065225,2.1134170366377645,0.7419918709884898,-0.872802600533693,-1.1928704334397575,0.5523289623534556,-0.901419274928988,-0.4483652956312218,0.17360370227134697,1.0412411587036408,-0.29013801223488916
3,-1.0497685844557825,-0.392546845037878,-0.12876535066777414,-1.1557041566355417,0.33363576429865044,-0.2766293639972594,-0.3459149548937171,-0.5842298144798282,-0.8645898900458994,-1.162741303609518,0.7385319331698689,-0.812825026820842,0.9084148453440338,1.7489371619776424,0.2790918203702598,-0.1586515230562239
6,0.25208353087709995,0.12100898949622128,-0.03157180185242674,-0.9096773182056062,-0.545584350439846,1.1998509330081273,-0.9033314819471548,-1.0714073728791396,0.4133652613894959,0.48485912145995386,0.5671477449607402,-0.19153956298037708,2.005420022070159,1.0503502073630402,0.25925175678573276,-0.6066996266414617
7,0.39551215568819903,1.2614205112273074,0.01224190453449763,0.6822987863369268,3.941263206538185,-0.45159416073353725,-0.17744639867432943,0.3069369985961014,0.7002021307848757,0.9730560960805293,0.4069381244871535,2.3463943723592484,-0.8014306999854292,-1.1531000644135525,0.2005500411613904,-1.5600772299266095
10,-0.7209285251856128,-0.5001940525456297,-0.13532568736711828,0.6445263090335906,1.1642821460048816,0.3870784167574125,0.4505504484825961,0.4321187780699328,-0.6053490073868678,-0.8414857638701515,-1.3357986981584038,-0.49856465881070955,-0.7445012067211572,-0.7686089800335465,-0.5332867863021497,-0.30227990379185055
13,0.7278826000357318,0.9350879376536084,-0.03724585870875096,0.5196820512732776,1.0602741321663582,-0.3490496960747002,0.09055013622563877,0.6382618016055617,1.213497560317579,1.2178389241078782,0.7119942558063402,3.0402416969269717,-0.8175563134668706,-1.0201476300913666,0.9081419085355179,-1.2104637615634628
14,0.6178563149097043,1.0050628287154875,-0.09909539505822805,3.116475424172915,0.13797275463530323,0.4624931674229706,-0.16903165247873822,0.43138361748476095,1.1290751114302615,0.7649258041509807,0.03834693369612427,2.37123795539425,-0.8574537986192687,-1.1945558982022515,0.7064182919003404,-1.7361033122537763
15,1.0595740553107305,1.492843557247893,0.005456203083775171,0.24458072893570693,0.6339521496735124,-0.022973007194837188,0.2143665881035045,0.6358429809031284,1.3840980858603196,0.8058421939988785,0.714794218477488,1.2535483708585675,-0.5653617370574491,-0.15251925064786992,0.9147629240678317,-0.297051090505795
16,-0.32073944360383344,-0.7829771753109263,-0.16710898619642775,0.13697803749752058,0.6764444514137877,3.5178976612943287,-0.9827474399524947,-1.275477118874265,-0.7162251667373881,-0.4301328632168684,1.0209320634206893,-0.9064479548916811,0.6295495294584699,0.8986353098797875,1.7695114606161133,-1.4610598792450378
19,0.02982423578025524,0.4868827910802069,-0.12294368741811736,1.7938489739584158,0.8411550354774802,0.06315375355531537,1.4093231911297877,1.6165303277930736,0.37051415599804094,0.043827493844827474,0.6947012144009495,1.252736551391955,-0.8171185746693472,-0.9474490013472981,2.060009295385273,-1.2720975541870883
21,-0.41559835495393793,-0.4202890476837477,-0.17498622104316117,0.7174072885019064,-0.45927338785458316,4.654340793167881,-0.8572870761700584,-0.8462452669765569,-0.2919031339099489,-0.3432623989327606,0.6911873802272428,-0.8246651090199251,0.06700732352050906,0.43299399582070247,2.557103916601142,-1.8671715173629475
22,-0.8865077536847759,-0.5506085945641837,-0.13134908043638083,-0.3250880420167024,-0.6974428385863403,0.5570466861949522,-0.9655444751582194,-1.2747882306237417,-0.9933406207765878,-0.8417612032437615,1.0358291735956184,-1.0001602271614027,0.18513715475250933,0.8630161032610677,1.2636365264236358,-0.3084706461455811
26,-1.5178642604349366,3.957303472812556,0.5688639488638003,-1.2483168603051078,0.47911370594310204,-1.0701383698713307,-0.5948391437400258,-0.8097378039099912,-1.4027531611765063,-1.0049838536667264,-1.682786848347343,-0.07905539480433033,-0.9273316333283632,-1.5547835245600734,-1.8890151546236567,-1.402653884254596
31,-0.995323790064827,-0.3516865315942444,-0.06720872413183632,-0.42408118693280966,0.8540692799877158,0.6492723428456287,-0.5501310518647992,-0.6654482800519542,-1.0459245700546633,-0.9912386834942749,1.0151824233604978,-0.41590629234824505,-0.8300968526378029,-0.8844037853583631,1.499959555532532,-0.7889193535106144
32,-0.521191867666199,-0.741053850424084,-0.05860036519305717,-1.5908519210714829,0.06330022109943526,0.2246731656028447,-0.9542610756309977,-1.1657652335795172,-0.6349457982949491,-0.7916850596129534,0.6194413112436757,-0.6673450607227465,0.07182597028862084,0.6889883639611912,0.1813574725113367,0.32162749065353363
34,-0.5014317330622139,-0.6771292508356569,-0.15496390153495881,0.21528059610968436,0.14290137440287662,1.5729463327176205,-0.8148587921602004,-0.9364930350941594,-0.6699247844906262,-0.7183818208350399,0.612064143306469,-0.6398469945906509,0.5384229894171115,1.4079410830749637,0.3511770530900165,-0.6400314156067126
36,0.7080900302423917,-0.47863592761002377,-0.13558729343643597,-0.6966114698689512,0.2490505808301267,0.1257452273526278,-0.24139264026170423,0.18738598021336034,1.122829717671475,0.40256959501031375,0.9804852938715424,-0.14421608007689718,1.166454127909532,2.6482198662264813,1.1247597048213054,0.6732302738292704
38,-1.426425332474616,-0.5774364768294556,-0.1459380532257792,0.9799746887304415,0.8699968827516678,0.033848551553223284,0.16733758395554893,-0.17614908788135172,-1.3628664968127429,-1.503038826319136,-1.515472223446899,-0.7521924978161104,-0.9704522587545871,-1.436329793293101,-0.7985614713053052,-0.6636073914570148
40,-0.34705171135234847,-0.07606420266670917,-0.15538338731345372,1.5874939213185804,0.6169738436727527,0.2991344538987261,0.7269653149909421,0.6061104953544322,-0.2111875231405119,-0.5685541462003447,-0.040894786064311385,0.359168647124858,-0.9196606848503672,-1.1606338876482947,0.5152367525694275,-0.8450532399279701
43,-0.10002424397508566,-0.6827508706389289,-0.1629816485355081,-0.08649726651003979,0.08572966414484964,2.324041980333561,-0.7009585091572847,-0.4955865478879614,-0.17311791147581534,-0.5180918830030197,0.8652699035672244,-0.6372779419638003,-0.2332405512221936,1.151072190300685,1.6245288168268004,-0.4009715081650035
45,1.3087639777011768,1.427993329966178,-0.06399407744202608,1.037717235638247,2.011638418482128,-0.4907030840533559,2.0920525665701355,2.5077336819684204,1.7179913133587152,1.3645879920890198,0.8431195614798391,2.407172281970685,-0.5877588343172521,-0.4297839375167005,1.5852520922163535,-0.8217496189436251
47,-0.7914212508331165,2.4392134036198345,-0.018160093002340984,1.1795323202805807,0.3574039648148009,-0.6072326144389211,0.6720690443113075,0.56534471126207,-0.7360278091540796,-0.5180168048502755,-0.4487394903582,0.4237968153005318,-0.943258196212065,-1.410894019457102,-0.8810955510515055,-1.3228760337323158
50,1.1193621272587142,-0.21866000141946107,-0.1196196169344364,0.8128988692137995,1.5634985790554243,-0.16222310542482266,0.8627861069904171,1.4241407100195504,1.4656459945106162,0.6512692785871532,0.8008107770948474,1.0706757898134769,-0.6080943500627873,-0.14307990309144022,1.1418140215332075,0.24179541696291224
53,1.5697180852383275,1.1804882683185176,-0.0937394303523099,1.6903055265211806,0.6426197153029534,-0.256356546211294,1.5727786574554294,1.7584762621361731,1.8273539782376749,1.4057561348750447,0.8580196461193604,1.8980053067586933,-0.3843552431100585,-0.0943066422858834,1.4306908901958633,-0.46654667102819164
56,-0.5833678103020181,-0.4221179076966634,-0.11385728576707539,-0.2994956724381494,0.9040313984222003,0.3879702036382646,-0.5742470994378263,-0.6795944021390434,-0.5921207060430939,-0.42918458264995124,0.9597354288638298,-0.6519924788313907,0.7927426000668903,1.3546274068859827,0.5574260592144329,-0.3975308743554134
58,-1.13451847180538,2.1742693598018312,0.0380900848788805,0.6791231076381984,-1.9747838933790376,-0.6114369249725367,-0.40417304435236984,-0.39595762101152787,-1.051894423894547,-0.8487209110453129,-2.798910070275238,0.3290772471527351,-0.981141517126946,-1.7169420258314076,-2.0374335398945678,-1.0133783586321845
60,1.699697770156818,0.6716925513950842,-0.04652231127943036,0.23617187201580217,0.6961278189345459,-0.15601434691278268,0.5825683342391037,1.0651222701322245,1.715462664778368,1.4032968911245045,0.5153885908165258,2.1627491674276134,-0.6688452740220585,-0.7319290824008414,0.9249167552010036,-0.04536431018114123
61,-0.9752681094360008,1.5181073343661773,0.3684018035677252,-0.5724975526614563,-0.11268581295607698,0.023278681435649085,-0.9883686727240097,-1.3014844979109195,-0.7673463163166323,-0.08363683509924219,0.4062311934019815,-0.444155789792768,3.604337539967133,1.3391585625743803,-1.089911774220884,-1.8455272806461391
63,-0.07971330774041235,0.9257829416744845,-0.13049785848981524,2.181677680863256,0.31790729467566287,-0.33974597044495447,0.05874224101874453,-0.09383034061253555,0.0997409753108507,0.21944008048587954,0.9713526960797764,0.20872960738330046,-0.2969793417162444,-0.19405272756374448,1.2227612040832176,-0.9498189607426324
